fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammdurchm,longitude,latitude
"86074","4306","5","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,,11.6489170282,52.1823340657
"86075","4307","10","Prunus avium, Vogelkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"26",11.6490150585,52.1823317733
"86076","4308","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"74",11.6489909125,52.1823267401
"86077","4309","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"75",11.6489476603,52.1823005528
"86078","4310","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.6488942430,52.1822781011
"86079","4311","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"51",11.6489138221,52.1822284692
"86080","4312","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"17",11.6488857094,52.1822034706
"86081","4313","12","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"51",11.6487928648,52.1821970130
"86082","4314","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"34",11.6488878985,52.1821861547
"86083","4315","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"48",11.6488398488,52.1821506325
"86084","4316","7","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"61",11.6488279269,52.1820977513
"86085","4317","5","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"16",11.6488445446,52.1820499846
"86086","4318","6","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"61",11.6488181796,52.1820593001
"86087","4319","6","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"18",11.6487748298,52.1820609934
"86088","4322","7","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"33",11.6488226626,52.1820018237
"86089","4323","11","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"17",11.6488357331,52.1819780582
"86090","4324","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.6488262213,52.1819632535
"86091","4325","12","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"45",11.6488970388,52.1819535687
"86092","4326","10","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"72",11.6489249363,52.1818814471
"86093","4327","15","Populus spec., Pappel",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"52",11.6490635827,52.1818364245
"86094","4328","15","Populus spec., Pappel",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,"49",11.6491175071,52.1817370087
"86095","4329","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"48",11.6489638702,52.1815938737
"86096","4330","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"43",11.6489689291,52.1815534711
"86097","4331","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.6489102629,52.1815460659
"86098","4332","8","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"26",11.6488705005,52.1815416533
"86099","4333","9","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"18",11.6489693656,52.1814943769
"86100","4334","8","Prunus mahaleb, Weichselkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"40",11.6489811749,52.1814641647
"86101","4335","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"59",11.6490051128,52.1814238775
"86102","4336","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"26",11.6490338422,52.1813460716
"86103","4337","15","Populus spec., Pappel",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,"38",11.6491575769,52.1814070523
"86104","4338","12","Populus spec., Pappel",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,"332",11.6492953261,52.1811796703
"86105","4339","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"51",11.6493028780,52.1811615145
"86106","4340","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"32",11.6493092167,52.1811377203
"86107","4341","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"30",11.6491641405,52.1810917880
"86108","4342","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"71",11.6491979252,52.1810596431
"86109","4343","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"32",11.6492159807,52.1809991638
"86110","4344","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.6493249193,52.1809933885
"86111","4345","9","Prunus avium, Vogelkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"57",11.6493714159,52.1810003476
"86112","4347","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"35",11.6495194973,52.1809811922
"86113","4348","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,,11.6495090217,52.1810018419
"86114","4349","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,,11.6494968079,52.1810449233
"86115","4350","11","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"21",11.6495283109,52.1810654390
"86116","4351","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"50",11.6495077754,52.1810940488
"86117","4352","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"22",11.6494373094,52.1811957250
"86118","4353","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"19",11.6494275370,52.1811199533
"86119","4354","12","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"33",11.6494429618,52.1811431685
"86120","4355","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"30",11.6493972036,52.1812224363
"86121","4356","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"30",11.6494270977,52.1812454163
"86122","4357","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"19",11.6494398253,52.1812650949
"86123","4358","13","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"72",11.6492924322,52.1812884614
"86124","4359","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"45",11.6493269806,52.1811658291
"86125","4360","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"23",11.6493289345,52.1811445616
"86126","4361","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"48",11.6494016185,52.1810851030
"86127","4362","13","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"22",11.6494070669,52.1810512566
"86128","4363","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"49",11.6493460530,52.1810437245
"86129","4364","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"42",11.6492302577,52.1809612520
"86130","4365","9","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"42",11.6492081277,52.1809532058
"86131","4366","9","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"18",11.6492133889,52.1809235904
"86132","4367","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"40",11.6492327503,52.1809293605
"86133","4368","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"16",11.6492531862,52.1809310597
"86134","4369","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"72",11.6492720960,52.1808849500
"86135","4370","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"70",11.6493479134,52.1809347767
"86136","4371","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"23",11.6493602773,52.1809212791
"86137","4372","12","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"45",11.6493879514,52.1809389131
"86138","4373","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"23",11.6494045968,52.1809236106
"86139","4374","12","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"30",11.6495602485,52.1809382789
"86140","4375","12","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"26",11.6495396320,52.1809114033
"86141","4376","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,,11.6496151608,52.1809293109
"86142","4377","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"34",11.6496235567,52.1809179708
"86143","4378","10","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"53",11.6496136613,52.1808745768
"86144","4379","12","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"53",11.6495472347,52.1808695046
"86145","4380","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"76",11.6494836898,52.1808882892
"86146","4381","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"24",11.6493908406,52.1808841704
"86147","4382","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,"16",11.6494022679,52.1808573841
"86148","4383","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"36",11.6494274747,52.1808335256
"86149","4384","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"49",11.6494632448,52.1807806520
"86150","4385","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"34",11.6494809471,52.1807560629
"86151","4386","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"69",11.6495119718,52.1807168754
"86152","4387","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"49",11.6495508603,52.1807238255
"86153","4388","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"42",11.6495316156,52.1807003364
"86154","4389","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,"22",11.6494492752,52.1806613582
"86155","4390","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"27",11.6494351684,52.1805791189
"86156","4391","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"31",11.6495330714,52.1806239526
"86157","4392","5","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,"21",11.6495497727,52.1806268148
"86158","4393","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"52",11.6495310177,52.1806484598
"86159","4394","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,"16",11.6495673488,52.1806320854
"86160","4395","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"53",11.6496043650,52.1806321529
"86161","4396","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,"61",11.6495726728,52.1805494095
"86162","4397","5","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,"61",11.6495764030,52.1805260336
