fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"81656","3980","2","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,101,11.6388680927,52.0551529031
"81657","3981","2","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,160,11.6389049771,52.0551153845
"81658","3982","14","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,108,11.6389384721,52.0551267747
"81659","3983","7","Acer pseudoplatanus, Berg-Ahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,65,11.6389966691,52.0551043367
"81660","3984","2","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,140,11.6390092603,52.0550630456
"81661","3985","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,206,11.6390705141,52.0550330747
"81662","3986","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,268,11.6393158202,52.0548983453
"81664","3988","22","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,254,11.6396252886,52.0547656847
"81666","3990","7","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,300,11.6397875223,52.0547115067
"81667","3991","12","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,99,11.6399035776,52.0546930773
"81668","3992","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,202,11.6417695782,52.0545059053
"81670","3994","14","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,222,11.6418760222,52.0544927257
"81671","3995","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,178,11.6419150346,52.0544913110
"81672","3996","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,192,11.6420486713,52.0544692475
"81673","3997","7","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,212,11.6421090094,52.0544608792
"81677","4001","10","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,202,11.6434284553,52.0543021287
"81679","4004","6","Prunus padus, Traubenkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,60,11.6438920592,52.0542354246
"81680","4005","13","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,60,11.6439152910,52.0542212334
"81681","4006","10","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,57,11.6440159273,52.0541764362
"81682","4007","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,88,11.6445648457,52.0539784917
"81683","4008","12","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,97,11.6445958192,52.0539595400
"81684","4009","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,98,11.6446847377,52.0539337112
"81685","4010","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,102,11.6447312029,52.0539029003
"81686","4011","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,62,11.6469012691,52.0529256888
"81687","4012","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,86,11.6468327136,52.0529603246
"81689","4014","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,160,11.6467416864,52.0530170491
"81690","4015","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,106,11.6466624383,52.0530386152
"81691","4016","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,50,11.6466289445,52.0530198526
"81692","4017","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,55,11.6466052764,52.0530291079
"81693","4018","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,73,11.6465648215,52.0530455753
"81694","4019","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,50,11.6465311202,52.0530578439
"81695","4020","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,60,11.6464924134,52.0530742720
"81696","4021","7","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,110,11.6464722522,52.0530836284
