fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
2981,  4727 - Lieg4727,"Populus spec., Pappel",180,27,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6839427130515,52.0742158982243
2982,  4728 - Lieg4728,"Ulmus glabra, Bergulme",60,12,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838838478305,52.0742710191555
2983,  4730 - Lieg4730,"Populus spec., Pappel",204,25,12,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838684182786,52.0743470939081
2984,  4731 - Lieg4731,"Populus spec., Pappel",192,26,12,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838661209694,52.0743793420963
2985,  4732 - Lieg4732,"Ulmus glabra, Bergulme",73,14,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838321344913,52.0743845231734
2986,  4733 - Lieg4733,"Populus spec., Pappel",186,26,12,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838319701869,52.0744085389007
2987,  4734 - Lieg4734,"Ulmus glabra, Bergulme",140,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838411789623,52.0744112069201
2988,  4735 - Lieg4735,"Populus spec., Pappel",194,26,12,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6837820291931,52.0744469987869
2989,  4736 - Lieg4736,"Quercus robur, Stieleiche",60,15,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6838002353762,52.0744609731708
2990,  4737 - Lieg4737,"Ulmus glabra, Bergulme",50,14,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6837890167773,52.0744758877827
2991,  4739 - Lieg4739,"Populus spec., Pappel",198,25,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6837493906788,52.0745208575724
2992,  4741 - Lieg4741,"Populus spec., Pappel",120,25,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6837328849735,52.0745595448932
2993,  4742 - Lieg4742,"Populus spec., Pappel",184,26,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.683715900355,52.0745829545947
2994,  4744 - Lieg4744,"Populus spec., Pappel",206,25,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6837097813983,52.0746123220765
2995,  4747 - Lieg4747,"Ulmus glabra, Bergulme",50,9,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6836948009501,52.0746739973642
2996,  4748 - Lieg4748,"Ulmus glabra, Bergulme",50,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6836807973785,52.074683849263
2997,  4752 - Lieg4752,"Ulmus glabra, Bergulme",50,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6836401153572,52.0748109514557
2998,  4754 - Lieg4754,"Ulmus glabra, Bergulme",65,9,1,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6836194425269,52.0748458665996
